,abstract,date,headline,id,lead_paragraph,url,word_count
32,"Mr. Murdoch, now divorced from the day-to-day operations of News Corp, plans to announce investments in sustainable packaging and a venture organized by BlackRock.",2020-02-12,James Murdoch Plans Big Bets on Sustainable Businesses,nyt://article/4896608f-8e65-5eb3-a3a0-26bc1bf34199,James Murdoch has always seemed an odd fit in the News Corp media empire: the ecologically minded scion of a family whose centerpiece news outlets have minimized the effects of climate change.,https://www.nytimes.com/2020/02/12/business/dealbook/james-murdoch-environment.html,930
33,"Radio Sputnik, a propaganda arm of the Russian government, began broadcasting on three Kansas City-area radio stations during prime drive time.",2020-02-13,Playing on Kansas City Radio: Russian Propaganda,nyt://article/ec9a8dfd-738b-509e-a6ff-c6105e30d6d5,"When commuters spin the radio dial as they drive through Kansas City, Mo., these days, between the strains of classic rock and country hits they can tune in to something unexpected: Russian agitprop.",https://www.nytimes.com/2020/02/13/us/russian-propaganda-radio.html,1472
34,"Donald G. McNeil Jr., a health and science reporter for The Times, discussed his coverage of the epidemic.",2020-02-13,"Reporting on the Coronavirus: Spreading Truth, Not Panic",nyt://article/1ee274f6-f446-5f89-a2e8-8edf963657f7,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",https://www.nytimes.com/2020/02/13/reader-center/coronavirus-reporting.html,727
35,"Whether you’re sentimental or rom-com averse, our culture writers offer suggestions for a range of interests.",2020-02-14,What to Stream on Valentine’s Day,nyt://article/ca8f71a0-5cfd-52bf-aedd-bd780d538d01,"Make sure you watch the 1968 version, not the 1999 remake. While the newer film is fine enough, the original is a textbook example of classic Hollywood at its sexiest. Steve McQueen plays a millionaire who robs banks for fun, and Faye Dunaway is the insurance investigator on his tail. There is something downright intoxicating about the two stars’ charisma, and their chemistry feels as inexorable as tectonic plates moving toward each other. When they engage in a game of chess — a real one, though the metaphorical aspect is also there — you might have to fan yourself. Michel Legrand’s alternately lush and driving score is a gem of its own. ELISABETH VINCENTELLI",https://www.nytimes.com/2020/02/13/movies/valentines-day-streaming.html,2263
36,A proposal to modify a new bail law has become the latest flash point in one of Albany’s most bitterly fought debates.,2020-02-14,The Bail Reform Backlash That Has Democrats at War,nyt://article/5d2f4eb1-85a0-5605-ac7b-c62f2f778e18,"ALBANY, N.Y. — A serial bank robber who struck again four hours after he was released from custody. A wall of white faces in police uniforms, filling the State Capitol steps in protest. A protected witness bludgeoned to death.",https://www.nytimes.com/2020/02/14/nyregion/new-york-bail-reform.html,1416
37,"Two video bloggers whose dispatches from the heart of the outbreak showed fear, grief and dissatisfaction with the government have gone silent.",2020-02-14,They Documented the Coronavirus Crisis in Wuhan. Then They Vanished.,nyt://article/64c1e462-164f-586d-a7a7-b4d810e41e28,"HONG KONG — The beige van squatted outside of a Wuhan hospital, its side and back doors ajar. Fang Bin, a local clothing salesman, peered inside as he walked past. He groaned: “So many dead.” He counted five, six, seven, eight body bags. “This is too many.”  ",https://www.nytimes.com/2020/02/14/business/wuhan-coronavirus-journalists.html,1194
38,The police used an antiterror law to demand information about who leaked crime scene photos that she posted to social media.,2020-02-14,Why the N.Y.P.D. Subpoenaed a Reporter’s Twitter Feed,nyt://article/d1ca2f28-0f35-5277-a4e1-d9efc78f1b0c,"The move by the New York Police Department against one of the city’s biggest tabloids was unusual: It issued a subpoena demanding information about a New York Post reporter’s Twitter account and cited an antiterror law passed after the Sept. 11, 2001, attacks.",https://www.nytimes.com/2020/02/14/nyregion/patriot-act-subpoena-nypd.html,667
39,"Maybe what goes up online must come down, but what comes down will go up again.",2020-02-14,The Coronavirus Story Is Too Big for China to Spin,nyt://article/4df5f116-e3d4-56bc-aee4-1aba16ecd370,"Reactions to Li Wenliang’s death last Friday filled the timelines of my social media accounts almost immediately. Post after post on my WeChat. Grief, frustration, anger.",https://www.nytimes.com/2020/02/14/opinion/china-coronavirus-social-media.html,991
40,Photos of suffering children have the power to soften sentiment toward the “other.” Can that still happen in a polarized age?,2020-02-17,When a Picture Is Worth a Thousand Tears,nyt://article/e7b948a9-794f-5e96-877a-da97dcd1f5a2,"NASHVILLE — On June 8, 1972, Nick Ut, a Vietnamese photographer working for The Associated Press, shot a now-iconic photo of children fleeing napalm mistakenly dropped on their village by South Vietnamese forces. At the center of the photo is a naked 9-year-old girl named Phan Thi Kim Phuc. She is in agony; her skin appears to be melting. None of the helmeted soldiers in the background are looking at the children. Only the photographer sees her pain.",https://www.nytimes.com/2020/02/17/opinion/photojournalism-children-nick-ut.html,1214
41,Michael Bloomberg’s rise in the polls has increased the pressure on political reporters employed by his news outlet.,2020-02-17,Bloomberg News’s Dilemma: How to Cover a Boss Seeking the Presidency,nyt://article/c3bd5f2f-34bb-5b78-a9e5-3ceccae06889,"John Micklethwait, the editor in chief of Bloomberg News, walked into his Washington bureau on a Friday morning in December with a daunting task: explaining to his political reporters how to cover a presidential campaign when the boss is a candidate.",https://www.nytimes.com/2020/02/17/business/media/bloomberg-news-conflict-of-interest.html,1382
42,Up-to-the-minute reports and statistics can unintentionally distort the facts.,2020-02-18,We’re Reading the Coronavirus Numbers Wrong,nyt://article/236eef20-1839-5863-b2b1-91f889793577,"Numbers have a certain mystique: They seem precise, exact, sometimes even beyond doubt. But outside the field of pure mathematics, this reputation rarely is deserved. And when it comes to the coronavirus epidemic, buying into that can be downright dangerous.",https://www.nytimes.com/2020/02/18/opinion/coronavirus-china-numbers.html,1380
43,Kenan Thompson of “Saturday Night Live” and Hasan Minhaj of “Patriot Act” are set to perform at the April 25 event.,2020-02-18,Comedy Returns to the White House Correspondents’ Dinner. Will Trump?,nyt://article/a9fb79d1-0371-5504-a073-16843df27a1c,"Live from Washington, it’s Saturday night!",https://www.nytimes.com/2020/02/18/business/media/white-house-correspondents-dinner-kenan-thompson.html,709
44,"The former host of the hit reality show “Love Island” wrote the post after she was charged with assaulting her boyfriend, but was advised not to publish it.",2020-02-19,Family of Caroline Flack Shares Post Written Before Star’s Suicide,nyt://article/188d6345-a7d9-5414-821e-65c87b8dbdff,"LONDON — Weeks before taking her own life, Caroline Flack, the British television personality, wrote that she had been suffering from an emotional breakdown “for a very long time,” according to an unpublished social media post made public by her family on Wednesday.",https://www.nytimes.com/2020/02/19/arts/caroline-flack-news.html,678
45,Elites just pretend it’s not.,2020-02-19,Twitter Is Real Life,nyt://article/c9fde138-93d6-5e3f-ae08-3a20080d878f,"For the better part of a year I’ve been hearing the same refrain. Friends, colleagues, peers and respected pollsters have cautioned: Twitter is not real life.",https://www.nytimes.com/2020/02/19/opinion/twitter-debates-real-life.html,1782
46,"The Times Magazine’s 1619 Project received a special honor, and reporters from local newspapers took prizes for uncovering mayoral misdeeds.",2020-02-19,New York Times Leads Polk Awards With 4 Prizes,nyt://article/76fcfe5e-509d-5bbd-a1dd-c6099d311981,"The New York Times received four George Polk Awards on Wednesday, the most of any news organization, including one for The 1619 Project, a series from The Times Magazine centered on reframing United States history by focusing on the consequences of slavery and the contributions of black Americans.",https://www.nytimes.com/2020/02/19/business/media/polk-awards.html,845
47,And can privacy be protected?,2020-02-20,Could Bloomberg Buy the Nomination?,nyt://article/eca36f67-dbc1-5b41-aada-0750784ef8b0,Listen and subscribe to our podcast from your mobile device:,https://www.nytimes.com/2020/02/20/opinion/the-argument-michael-bloomberg-2020.html,862
48,Expelling Wall Street Journal reporters returns China to a darker age.,2020-02-20,Beijing’s Great Leap Backward,nyt://article/f8add4e8-4e48-5ce8-b6b9-865f6ef0a0dc,"Several years ago, in an overheated room in Beijing, I was forced to endure a stern lecture from a Chinese foreign ministry official. My sin: As the editor at The Wall Street Journal responsible for the paper’s overseas opinion sections, I had apparently insulted the entire Chinese people by publishing the work of a “well-known terrorist” — the courageous Uighur human-rights activist Rebiya Kadeer.",https://www.nytimes.com/2020/02/20/opinion/wall-street-journal-china.html,819
49,News literacy instruction is flourishing in the wake of the 2016 election as worries about fake news grow.,2020-02-20,These Students Are Learning About Fake News and How to Spot It,nyt://article/1bc2e332-aaa3-57b9-8a8b-f84ced7eb38f,"This article is part of our latest Learning special report. We’re focusing on Generation Z, which is facing challenges from changing curriculums and new technology to financial aid gaps and homelessness.",https://www.nytimes.com/2020/02/20/education/learning/news-literacy-2016-election.html,1438
50,"Prosecutors said Henry Kyle Frese shared top secret information with two journalists, one of whom was his girlfriend.",2020-02-21,Former Pentagon Analyst Pleads Guilty to Sharing Classified Information,nyt://article/c53a4769-5903-5180-877c-6934f26561a9,"A former Pentagon counterterrorism analyst pleaded guilty on Thursday to sharing classified information with two journalists, one of whom was his girlfriend.",https://www.nytimes.com/2020/02/20/us/henry-kyle-frese-amanda-macias.html,520
51,"The live briefing, a format The Times has used to guide readers through all the updates on the outbreak, involves dozens of staffers. Here’s how it comes together.",2020-02-23,The Coronavirus Briefing: A Reporting Relay Across Time Zones,nyt://article/5c50b1fa-1f44-55d1-9b8a-32ea5040fdfb,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",https://www.nytimes.com/2020/02/23/reader-center/coronavirus-live-briefing.html,814
52,We took the same walk together every time he played in Dallas. But it was the 17-year-old I first met in Los Angeles in 1996 that I can’t stop thinking about.,2020-02-23,My Ritual With Kobe Bryant,nyt://article/91e02473-96eb-5ce4-aaa0-68371d2a7de9,,https://www.nytimes.com/2020/02/23/reader-center/my-ritual-with-kobe-bryant.html,755
53,The editor in chief was fired — and rehired — before this week’s formal rollout of a tech-investigations site backed by millions from the founder of Craigslist.,2020-02-24,"After Long Wait, The Markup Is Ready to ‘Show Our Work’",nyt://article/71385ee8-986f-57e8-837a-71093af6ec42,"After a turbulent year during which the top editor was fired and rehired, The Markup, a website with ambitions to combine investigative and data-driven journalism to cover technology, will make its formal debut Tuesday.",https://www.nytimes.com/2020/02/24/business/the-markup-tech-launch.html,568
54,"An on-air comparison to Nazis angered Sanders aides, who privately complained to executives at MSNBC.",2020-02-25,Chris Matthews Apologizes to Bernie Sanders for Remarks on Nevada Win,nyt://article/0462d30f-be41-5fd0-a0f6-9723c9e5b8ac,[Chris Matthews has stepped down at MSNBC.],https://www.nytimes.com/2020/02/24/business/media/chris-matthews-bernie-sanders-apology.html,638
55,Last week is proof.,2020-02-25,Russia Wants to Meddle in Our Election. We’re Helping.,nyt://article/cd96f692-f72e-5cc6-b63a-03b2e7fc0142,"For all the talk since 2016 of foreign election interference and Russian “meddling,” it seems few people really understand the information war and how not to play into the hands of our enemies. Last week is proof.",https://www.nytimes.com/2020/02/25/opinion/russia-interference-trump-sanders.html,1298
56,"U.S. officials said they were looking at ways to retaliate for China’s expulsion of three Wall Street Journal reporters, including evicting Chinese journalists who file intelligence reports.",2020-02-25,Trump Administration Considers Punishing Chinese News Organizations,nyt://article/6e8b32a9-b378-57e8-beff-1b2d6f809714,"WASHINGTON — The Trump administration is considering punishing Chinese journalists and state-run news organizations — as well as Chinese intelligence agencies — because of China’s decision to expel three Wall Street Journal reporters, American officials said on Monday.",https://www.nytimes.com/2020/02/24/us/politics/trump-punishing-china-journalists.html,1118
57,"Over two hours, the CBS moderating team struggled to keep control, calling for order as candidates talked over their questioners and each other.",2020-02-26,"Coronavirus? Yes, but First: Soda Ban. CBS Criticized After a Chaotic Debate.",nyt://article/e19f0f00-f862-5bec-9ff9-227bbcd6f3a8,Eighty-three minutes had elapsed in Tuesday night’s Democratic debate before the CBS News moderators got around to asking the candidates about coronavirus.,https://www.nytimes.com/2020/02/25/us/politics/cbs-democratic-debate-moderators.html,557
58,"The chaotic debate, the final forum before the South Carolina and Super Tuesday primaries, showed viewer interest remained high.",2020-02-26,More Than 15 Million Tuned In for CBS’s Democratic Debate,nyt://article/1cf3f7fc-4f96-527e-a8fb-93a66d2909c8,It may have been messy. But it drew a crowd.,https://www.nytimes.com/2020/02/26/business/media/democratic-debate-cbs-ratings.html,392
59,The lawsuit concerns an essay published a year ago and headlined “The Real Trump-Russia Quid Pro Quo.”,2020-02-26,Trump Campaign Sues New York Times Over 2019 Opinion Article,nyt://article/af737265-a4b9-5a30-8f15-23173ebc7da2,"President Trump’s re-election campaign sued The New York Times for libel on Wednesday, alleging that an Op-Ed article published by the newspaper falsely asserted a “quid pro quo” between Russian officials and Mr. Trump’s 2016 campaign.",https://www.nytimes.com/2020/02/26/business/media/trump-new-york-times-lawsuit.html,778
