,abstract,date,headline,id,lead_paragraph,section,source,url,word_count
18,Postponements and cancellations continued in an effort to curtail the spread of the virus.,2020-03-12,How the Coronavirus Is Disrupting Sports,nyt://article/08e6ce17-6775-516b-b16a-d16b847b9559,"Sports around the world continued to be disrupted, and even halted, by the spread of the coronavirus.",Sports,The New York Times,https://www.nytimes.com/2020/03/12/sports/coronavirus-sports.html,1887
73,The N.B.A. suspends its season. Colleges move to distance learning. President Trump restricts travel from Europe. What are your thoughts on these and other recent developments?,2020-03-13,What Is Your Reaction to the Latest News About the Coronavirus Outbreak?,nyt://article/04a2ba93-3273-5fde-b201-76cc5b255bc9,"This week, the World Health Organization declared the coronavirus outbreak to be a pandemic. And in the past 48 hours, we have seen a dramatic turn of events in the United States affecting virtually all aspects of our lives, from our schools to the economy, from travel to the world of entertainment.",The Learning Network,The New York Times,https://www.nytimes.com/2020/03/13/learning/what-is-your-reaction-to-the-latest-news-about-the-coronavirus-outbreak.html,1011
77,"The president inaccurately described travel restrictions he had announced, falsely blamed his predecessor for testing shortages and misstated the role Google was playing in mitigating the outbreak.",2020-03-14,Trump’s False Claims About His Response to the Coronavirus,nyt://article/1f3f04a3-67b3-5d21-a985-864e30ab1566,"As he declared a national emergency over the coronavirus outbreak, President Trump attempted to deflect criticisms of his administration’s response to the virus with inaccurate claims. Here’s a fact-check.",U.S.,The New York Times,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,1282
14,"Scientists are ramping up the breeding of lab mice as well as the testing of primates and other animals, but it all takes time.",2020-03-14,These Lab Animals Will Help Fight Coronavirus,nyt://article/dc90eae3-e3c9-583e-ab77-0c664afc68ce,"Among the many lessons of the coronavirus pandemic is how close humans are to the rest of the animal kingdom. We get diseases from other animals, and then we use more animals to figure out how to stop the diseases. As research ramps up treatments and vaccines, animals are crucial to fighting the pandemic.",Science,The New York Times,https://www.nytimes.com/2020/03/14/science/animals-coronavirus-vaccine.html,1014
79,"Federal officials are asking Americans for extraordinary vigilance against a new pathogen. President Trump has taken a different course, worrying scientists.",2020-03-14,"Trump Is Tested for Coronavirus, and Experts Ask: What Took So Long?",nyt://article/222ad6f0-0943-5ce4-920a-471383eee72d,"After hosting a gathering with guests later found to be infected with the coronavirus, President Trump refrained from getting tested, let alone from self-quarantine, even as administration officials urged Americans to adopt stern new precautions.",Health,The New York Times,https://www.nytimes.com/2020/03/14/health/coronavirus-trump-test.html,1121
46,Empty streets. Shuttered stores. Spain has joined the number of countries struggling to balance public health with freedoms especially prized in a relatively young democracy.,2020-03-15,"Spain, on Lockdown, Weighs Liberties Against Containing Coronavirus",nyt://article/2cd794d0-b1b8-5d55-ad56-124b4be5a7aa,"MADRID — The scene is becoming all too familiar, and now it has gripped Spain: Streets are empty, shops are shuttered, families are cloistered at home and the numbers of those infected with the coronavirus, and those who have died, are growing.",World,The New York Times,https://www.nytimes.com/2020/03/15/world/europe/spain-coronavirus.html,898
43,"The hospitalizations sharpen fears that the nation’s front-line medical workers could be uniquely vulnerable, a health care organization said.",2020-03-15,Two Emergency Room Doctors Are in Critical Condition With Coronavirus,nyt://article/a11ce0c7-f2b7-5637-ba91-d56ec751997b,"SEATTLE — Two emergency medicine doctors, in New Jersey and Washington State, are in critical condition as a result of coronavirus, reinforcing concerns that the nation’s front-line medical workers are becoming especially vulnerable to the virus, the American College of Emergency Physicians said.",U.S.,The New York Times,https://www.nytimes.com/2020/03/15/us/coronavirus-physicians-emergency-rooms.html,431
45,"The city’s West End theater district, Royal Opera House and other premier venues closed Monday after the prime minister warned patrons to avoid the theater during the outbreak.",2020-03-16,London’s Cultural Landmarks Shutter Amid Coronavirus Threat,nyt://article/8d323d99-32f4-55a8-8434-736f85b60bee,"LONDON — Last week, the lights went out on Broadway. On Monday, London’s West End — the last global theater stronghold to remain open through the growing coronavirus pandemic — went dark.",Theater,The New York Times,https://www.nytimes.com/2020/03/16/theater/coronavirus-west-end-london.html,735
15,NYT Parenting readers shared their experiences.,2020-03-16,‘You’re Already Worried’: Navigating Coronavirus While Pregnant,nyt://article/5d45d4b3-1313-5d1e-a632-a74d9832f013,"Brittany Dickey, 33, remembers breastfeeding in a mask.",Parenting,The New York Times,https://www.nytimes.com/2020/03/16/parenting/pregnancy-anxiety-coronavirus.html,774
12,"The court said it would reschedule two weeks of arguments that had been set to start March 23, including major cases on President Trump’s financial records.",2020-03-16,Supreme Court Postpones Arguments Over Coronavirus,nyt://article/1b85bdc4-8e54-5d86-b1df-27eb77e1e081,WASHINGTON — The Supreme Court announced Monday that it would postpone its next argument session “in keeping with public health precautions.”,U.S.,The New York Times,https://www.nytimes.com/2020/03/16/us/supreme-court-coronavirus.html,651
72,How the best- and worst-case scenarios compare with other common killers.,2020-03-16,Could Coronavirus Cause as Many Deaths as Cancer in the U.S.? Putting Estimates in Context,nyt://interactive/0e374f0f-7489-55dc-bc2a-58b323b6b4d2,How the best- and worst-case scenarios compare with other common killers.,The Upshot,The New York Times,https://www.nytimes.com/interactive/2020/03/16/upshot/coronavirus-best-worst-death-toll-scenario.html,0
13,Experts offer advice on how to make the best possible decision for you and your family.,2020-03-17,Coronavirus Is Spreading. Should You Cancel Your Vacation?,nyt://article/faf0138e-e9d6-5892-912c-37895e7d0c54,"With summer fast approaching, many families are wondering just how long coronavirus will remain at the center of our lives. The outbreak has sickened people worldwide and killed thousands, adding a new layer of anxiety when thinking about potential travel plans.",Parenting,The New York Times,https://www.nytimes.com/2020/03/17/parenting/coronavirus-family-travel-advisory.html,2019
74,Lawmakers and policy experts say a paid-leave program that passed the House would still discourage some virus-stricken workers from staying home.,2020-03-17,Congress Is Knitting a Coronavirus Safety Net. It Already Has Big Holes.,nyt://article/37d35e06-43a7-5a8b-839a-49445c30655e,"WASHINGTON — In an effort to slow the spread of coronavirus and limit its damage to the economy, congressional leaders and President Trump are stitching together a new safety net for workers who contract the coronavirus or lose their jobs because of it.",U.S.,The New York Times,https://www.nytimes.com/2020/03/17/us/politics/congress-coronavirus-economy.html,1144
47,Fears are growing about what happens if community transmission takes off in the crowded areas of the world’s second-most-populous nation.,2020-03-17,"India Scrambles to Escape a Coronavirus Crisis. So Far, It’s Working.",nyt://article/4aacc9ba-33aa-56b5-943a-38e1bb3b242c,"NEW DELHI — Over the weekend in Lucknow, one of India’s bigger cities, young people packed into pubs. Despite the Indian government scrambling to lock things down, few on the bar scene were taking the coronavirus very seriously.",World,The New York Times,https://www.nytimes.com/2020/03/17/world/asia/india-coronavirus.html,1237
71,"The delay in containment efforts could prove dangerous, particularly in nations where the health care system can’t handle a major outbreak.",2020-03-17,"Having Brushed Off Coronavirus Threat, Southeast Asia Begins to Confront It",nyt://article/e21b41b6-621f-5b01-9760-9ed510d46105,"BANGKOK — For months, many Southeast Asian countries played down the threat posed by the new coronavirus. Some officials said that prayer would keep the disease away. Others expressed optimism that the tropical heat would slow the spread of the virus.",World,The New York Times,https://www.nytimes.com/2020/03/17/world/asia/coronavirus-southeast-asia.html,1041
11,A psychologist offers tips tailored to age.,2020-03-18,How to Talk to Your Child About the Coronavirus,nyt://article/22d8f91e-6dd0-5dda-a6d0-b84151931553,"Not long after New York City schools closed down this week to help stop the spread of coronavirus, a colleague called to tell me about a troubling conversation she overheard on the street: A boy of about 8 asked his mother if he could have a play date with a friend. The mother responded, “OK, but I’ll only pencil it in. In case, you know, the world ends.”",Opinion,The New York Times,https://www.nytimes.com/2020/03/18/opinion/coronavirus-children.html,1022
76,"The pandemic has clarified the dark bargain of our internet-connected devices: We look to them to protect our bodies and soothe our nerves, and in return, we hand over our minds.",2020-03-18,The Unending Anxiety of Coronavirus Content,nyt://article/6e11676c-4616-5743-8f8b-227fd504cd9f,"This past weekend, as coronavirus radiated across the country and sent Americans scurrying into their homes, Rosanne Cash tweeted: “Just a reminder that when Shakespeare was quarantined because of the plague, he wrote King Lear.”",Arts,The New York Times,https://www.nytimes.com/2020/03/18/arts/viral-content-coronavirus.html,1283
17,"The pop music contest, which has brought high camp into European homes annually since 1956, says it will come back in 2021.",2020-03-18,Eurovision Song Contest Is Canceled Over Coronavirus Concerns,nyt://article/796b5aa0-66a2-5e65-adfc-a53e22fd8448,"LONDON — The Eurovision Song Contest — Europe’s longest-running, most popular and perhaps its campiest talent competition — has been canceled because of the coronavirus pandemic.",Arts,The New York Times,https://www.nytimes.com/2020/03/18/arts/music/eurovision-canceled-coronavirus.html,536
10,"The Times has compiled more than two dozen pieces of journalism in “Answers to Your Coronavirus Questions,” which is available to download for free.",2020-03-18,Free E-Book: Answers to Your Coronavirus Questions,nyt://article/51e1744d-fb20-5d21-a7b0-cac70c8e26d9,"Covid-19 cases continue to be confirmed. By following some basic steps, you can help reduce your risk and do your part to protect others.",Health,The New York Times,https://www.nytimes.com/article/free-e-book-answers-to-your-coronavirus-questions.html,181
75,Researchers calculated a 1.4 percent likelihood of dying in the city where the pandemic began. Earlier estimates ranged from 2 percent to 3.4 percent.,2020-03-19,"Coronavirus Death Rate in Wuhan Is Lower than Previously Thought, Study Finds",nyt://article/9bf1f3b0-26ed-5219-9e5c-9458488708c5,A new study reports that people who became sick from the coronavirus in the Chinese city where the outbreak began likely had a lower death rate than previously thought.,Health,The New York Times,https://www.nytimes.com/2020/03/19/health/wuhan-coronavirus-deaths.html,510
78,Americans returning from Italy and Spain say border control officials didn’t screen them or tell them to isolate themselves.,2020-03-19,They Fled Coronavirus in Europe. Border Agents Asked if They’d Visited China or Iran.,nyt://article/c8c02a27-f2e7-5812-9eb8-a8afd90d2747,"When Pam Mundus and a friend landed in Milan for a weeklong vacation on Feb. 23, uniformed airport workers in face masks, attempting to contain the spread of the new coronavirus, took their temperatures.",Health,The New York Times,https://www.nytimes.com/2020/03/19/health/coronavirus-travel-ban.html,1445
44,Payton was tested on Monday after experiencing symptoms the day before.,2020-03-19,Saints Coach Sean Payton Is N.F.L.’s First Known Coronavirus Case,nyt://article/0ec4eae2-990f-5580-b809-05e67d6eaed2,"New Orleans Saints Coach Sean Payton is the first known member of the N.F.L. community to test positive for the coronavirus. Payton told ESPN on Thursday that his symptoms started on Sunday — the day after he attended the Rebel Stakes, a thoroughbred horse race at Oaklawn Park in Hot Springs, Ark. He said he was tested on Monday and received the results on Thursday.",Sports,The New York Times,https://www.nytimes.com/2020/03/19/sports/football/sean-payton-coronavirus-saints.html,322
48,"The use of the existing drugs against the new virus is unproven, and some shortages have already been reported.",2020-03-19,"With Minimal Evidence, Trump Asks F.D.A. to Study Malaria Drugs for Coronavirus",nyt://article/89ccc695-dfe0-5098-8a9f-16d302ec282d,"President Trump on Thursday exaggerated the potential of drugs available to treat the new coronavirus, including an experimental antiviral treatment and decades-old malaria remedies that hint of promise but so far show limited evidence of healing the sick.",Health,The New York Times,https://www.nytimes.com/2020/03/19/health/coronavirus-drugs-chloroquine.html,1023
41,The matriarch of the large New Jersey family died Wednesday night without ever knowing that her two oldest children had died before her.,2020-03-19,"Coronavirus Ravages 7 Members of a Single Family, Killing 4",nyt://article/32785b9e-7d44-5dd0-b2ce-551cb5f000ae,"Grace Fusco — mother of 11, grandmother of 27 — would sit in the same pew at church each Sunday, surrounded by nearly a dozen members of her sprawling Italian-American family. Sunday dinners drew an even larger crowd to her home in central New Jersey.",New York,The New York Times,https://www.nytimes.com/2020/03/18/nyregion/new-jersey-family-coronavirus.html,1096
19,"The event was scheduled for May 12 through 23, but organizers said that could not happen. It might be shifted to June or July.",2020-03-19,Cannes Film Festival Postponed Over Coronavirus Concerns,nyt://article/591af2e0-96ba-5582-b8e3-30cd4e1d3787,"The Cannes Film Festival has been postponed to reduce the spread of the coronavirus. The event, one of the world’s most important film festivals, was meant to run May 12-23, but organizers said in a statement on Thursday that could not happen.",Movies,The New York Times,https://www.nytimes.com/2020/03/19/movies/cannes-film-festival-coronavirus.html,477
