,Datetime,Text,user,retweets
3,2020-01-24 22:28:52+00:00,I cought the coronavirus. ,Omnisek,1
4,2020-01-24 21:56:04+00:00,FEEL LIKE IM FINNA CATCH CORONAVIRUS AT THE JSQ WENDYS. IT BE CREATURES IN THIS BITCH ,randolaflare,2
5,2020-01-24 21:54:06+00:00,#coronavirus spooked investors while companies such as @Disney or @McDonalds also feel the heat from the #outbreak. @Boeing shares closed higher after a #rollercoaster of a trade session. #737MAX might get FAA approval sooner than expected. More @dw_business w @KoberChristoph,eleconomistany,2
6,2020-01-24 21:47:19+00:00,"Live at 5p/6p: How NYC is preparing for the #CoronaVirus ...hear from the mayor, the city’s health commissioner and what the #CDC is doing. @PIX11News",jennbisramtv,3
7,2020-01-24 21:46:18+00:00,The coronavirus has made it to TikTok ,jbursz,0
8,2020-01-24 21:22:56+00:00,"the utter cruelty & lack of empathy towards chinese people, who are the most at risk for coronavirus, is unreal i’m worried abt my family &amp; you’re out here saying it’s ~karma for eating dogs~ like really, think about the steps that have taken you to this point of your humanity",alyzaliu,16
9,2020-01-24 20:36:59+00:00,While people are freaking out about the Coronavirus this guy on the subway is about to get something far worse ,FirenzeMike,2
10,2020-01-24 18:48:12+00:00,Scurvy will always be my Coronavirus because limes make it better.,itspeterj,0
11,2020-01-24 17:20:35+00:00,"My wife's boyfriend got Corona virus, wishing him a speedy recovery ",RhmFortune,1
12,2020-01-24 16:42:47+00:00,If you’re not yet following my fav infectious disease doctor and public health champion @celinegounder now’s the time. She’s awesome! #coronavirus #publichealth @DrOz @hannahkuchler #WomenInSTEM #WomenInScience #thisiswhatascientistlookslike,jjfeds,1
13,2020-01-24 16:20:48+00:00,today’s double horror feature is Googling the Coronavirus followed by Getting On A Plane,ttaymremmus,0
14,2020-01-24 15:55:08+00:00,Omg who started the rumor that Azealia caused the coronavirus outbreak when she visited China last year,DntBeADrag,0
15,2020-01-24 15:37:07+00:00,Avoid rumors. Stay tuned to the latest information on #coronavirus via @WHO @DrTedros and their global team. Cc @AminaJMohammed @UN_Piper,UN_SDG,3
